score;motivo;id_a;desc_a;k55_a;origen_a;cat_a;prov_a;id_b;desc_b;k55_b;origen_b;cat_b;prov_b
0.910;muy parecido;7b1a3e7c-f49a-4b03-82cd-f62a22c1d7ce;Escalera flybridge K55;1;import_k55_excel;Carpintería / Exterior / Varios;Maxi Herrero;95fe3f50-a85a-4046-bd82-f04aa36a6533;Pasamanos escalera flybridge K55;1;import_k55_excel;Carpintería / Exterior / Varios;Maxi Herrero
0.910;muy parecido;a9fd4faf-19cf-462c-91e1-994171ee6b67;Llave corte batería Blue Sea;0;k37_enero2026;Electricidad;Costa;11088a90-8940-4d3f-a7be-1e875ad9191c;Llave corte batería remota Blue Sea;6;k37_enero2026;Electricidad;
0.910;muy parecido;28bf764a-02c9-48bd-87be-5f6b57c022f6;Perfil aluminio tira LED;110;k37_enero2026;Electricidad;;81f261fc-56f8-4d85-a6bd-d7344873341a;Tira de LED;0;k37_enero2026;Electricidad;
0.910;muy parecido;08ec2d87-3a72-463a-b709-6bd4649d3fb1;Perfiles de aluminio para tiras led;110;import_k55_excel;Carpintería / Exterior / Varios;MercadoLibre;81f261fc-56f8-4d85-a6bd-d7344873341a;Tira de LED;0;k37_enero2026;Electricidad;
0.910;muy parecido;4d3f98ae-a508-4b04-9d25-65005d428c09;Punteras de plástico para perfil tira LED;60;import_k55_excel;Electricidad;;81f261fc-56f8-4d85-a6bd-d7344873341a;Tira de LED;0;k37_enero2026;Electricidad;
0.910;muy parecido;cc468b9f-0850-4a78-b045-081ed215460c;"Racor 1""";0;k37_enero2026;Sanitarios / Griferías;Iriarte;c3878c6d-e520-4d68-b75f-ea8cf3c40d7d;"Racor H a codo de 1"" plastico";12;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.910;muy parecido;cc468b9f-0850-4a78-b045-081ed215460c;"Racor 1""";0;k37_enero2026;Sanitarios / Griferías;Iriarte;668fa92e-afb2-4924-8c98-858bb6bfe15c;"Racor M a codo de 1"" plastico";3;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.910;muy parecido;cc468b9f-0850-4a78-b045-081ed215460c;"Racor 1""";0;k37_enero2026;Sanitarios / Griferías;Iriarte;85ca5b29-7008-4a34-a701-5406c399cc6b;"Racor M de 1"" plastico";5;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.910;muy parecido;c5975e62-f9cc-4889-8e27-8b36df8f230e;"Racor 1½""";0;k37_enero2026;Sanitarios / Griferías;Iriarte;c3878c6d-e520-4d68-b75f-ea8cf3c40d7d;"Racor H a codo de 1"" plastico";12;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.910;muy parecido;c5975e62-f9cc-4889-8e27-8b36df8f230e;"Racor 1½""";0;k37_enero2026;Sanitarios / Griferías;Iriarte;668fa92e-afb2-4924-8c98-858bb6bfe15c;"Racor M a codo de 1"" plastico";3;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.910;muy parecido;c5975e62-f9cc-4889-8e27-8b36df8f230e;"Racor 1½""";0;k37_enero2026;Sanitarios / Griferías;Iriarte;85ca5b29-7008-4a34-a701-5406c399cc6b;"Racor M de 1"" plastico";5;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.910;muy parecido;c3878c6d-e520-4d68-b75f-ea8cf3c40d7d;"Racor H a codo de 1"" plastico";12;import_k55_excel;Sanitarios / Griferías;Casa Iriarte;85ca5b29-7008-4a34-a701-5406c399cc6b;"Racor M de 1"" plastico";5;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.910;muy parecido;d487f214-b286-4bc2-92ad-7ca26e4eca97;"Racor H a codo de 1/2"" plastico";5;import_k55_excel;Sanitarios / Griferías;Casa Iriarte;cb050c93-4887-4da3-a5c9-159ba60fb2e2;"Racor M de 1/2"" plastico";2;import_k55_excel;Sanitarios / Griferías;
0.910;muy parecido;1423da69-292c-43c4-8c4b-dceca50aebe2;"Racor H a codo de 3/4"" plastico";3;import_k55_excel;Sanitarios / Griferías;Casa Iriarte;f0ee8532-c1d6-4bd3-b8f7-de12839abb0e;"Racor M de 3/4"" plastico";7;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.910;muy parecido;668fa92e-afb2-4924-8c98-858bb6bfe15c;"Racor M a codo de 1"" plastico";3;import_k55_excel;Sanitarios / Griferías;Casa Iriarte;85ca5b29-7008-4a34-a701-5406c399cc6b;"Racor M de 1"" plastico";5;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.910;muy parecido;2a9c3070-55a5-41a1-987c-434b17d4c8ea;"Racor M a codo de 1/2"" plastico";8;import_k55_excel;Sanitarios / Griferías;Casa Iriarte;cb050c93-4887-4da3-a5c9-159ba60fb2e2;"Racor M de 1/2"" plastico";2;import_k55_excel;Sanitarios / Griferías;
0.910;muy parecido;f3e88136-de87-43eb-8fdb-d01220710902;"Racor M a codo de 3/4"" plastico";2;import_k55_excel;Sanitarios / Griferías;Casa Iriarte;f0ee8532-c1d6-4bd3-b8f7-de12839abb0e;"Racor M de 3/4"" plastico";7;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.910;muy parecido;85ca5b29-7008-4a34-a701-5406c399cc6b;"Racor M de 1"" plastico";5;import_k55_excel;Sanitarios / Griferías;Casa Iriarte;3d512356-0a0a-47bd-bdf1-aab145096b23;"Racor macho 1""x1"" plástico";0;k37_enero2026;Sanitarios / Griferías;Iriarte
0.910;muy parecido;85ca5b29-7008-4a34-a701-5406c399cc6b;"Racor M de 1"" plastico";5;import_k55_excel;Sanitarios / Griferías;Casa Iriarte;658b953f-2221-4381-8e37-46c9f9eeea48;"Racor macho 1¼""x1"" plástico";0;k37_enero2026;Sanitarios / Griferías;Iriarte
0.910;muy parecido;dcc4472d-67f8-4206-8dba-5f6f93f16dd7;Soporte pared TV;2;k37_enero2026;Electricidad;;69925b9b-273c-408c-af42-2f1e52d9186d;Soporte pared TV brazo;1;import_k55_excel;Carpintería / Exterior / Varios;
0.910;muy parecido;5175ce0f-c639-4f8b-8656-cefb190d33d4;"T bronce 1""";0;k37_enero2026;Sanitarios / Griferías;Gaona;0d3ba5ed-e6e9-41f5-938a-77a20437cad0;"Toma pasacasco 1"" bronce";9;k37_enero2026;Mecánica;Iriarte
0.910;muy parecido;17ae82f9-1217-47bc-ab9e-8fdb23d5a6aa;Tanques de combustible con visor;2;import_k55_excel;Carpintería / Exterior / Varios;;4c0ca541-106f-4b6e-b653-59a81898346a;Visores con bolita para tanques combustible;2;import_k55_excel;Mecánica;
0.910;muy parecido;81f261fc-56f8-4d85-a6bd-d7344873341a;Tira de LED;0;k37_enero2026;Electricidad;;4095c16e-4b0f-4924-92ad-067b49548242;Tira LED blanco cálido;110;k37_enero2026;Electricidad;Janored/2001
0.777;revisar;4d87ffbe-6cce-4b13-82c4-bc5be233d595;"Adaptador M 1/2"" bronce x caño poliamida 1/4"" con tuerca y virola";1;import_k55_excel;Sanitarios / Griferías;Casa Iriarte;e4167e8a-9537-44ff-a35c-e8844d20f614;"Union rosca M 1/2"" bronce x caño poliamida 1/4"" con tuerca y virola";1;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.767;revisar;ee4907f6-c15e-476c-bacf-a4981ba991ef;Rejilla D60 Obturable Negra - Calefactor Autoterm;4;import_k55_excel;Sanitarios / Griferías;Baron;d98179e7-c15c-4c02-bb97-187c72a2f428;Rejilla D60 Orientable Negra - Calefactor Autoterm;2;import_k55_excel;Sanitarios / Griferías;Baron
0.767;revisar;4ceb1c17-382c-45e6-bdb9-de56e2d54d71;"Tapa tanque agua 1 1/2"" cromada c/venteo";1;k37_enero2026;Baron / Varios;Baron;31f8fe8b-015a-4fc7-aeac-cf433d8b26e5;"Tapa tanque waste 1 1/2"" cromada c/venteo";1;import_k55_excel;Sanitarios / Griferías;Flojumar
0.725;revisar;12530642-f648-407f-9c7a-7b910479bab8;"Codo 90° HH bronce 3/4""";0;k37_enero2026;Sanitarios / Griferías;Gaona;f1b5cc19-0a95-434c-a0ce-5a993ee365ce;"Codo 90° MH bronce 3/4""";2;k37_enero2026;Mecánica;Iriarte
0.725;revisar;e3596983-974f-445d-abff-6d351c34e271;Ficha Marinco hembra 32A 220V;1;k37_enero2026;Electricidad;Trimer;05a333d2-d432-4be9-a62c-0e9b628345ec;Funda para ficha Marinco 32A 220V;1;k37_enero2026;Electricidad;Trimer
0.700;revisar;ac5fdea1-9bdd-4b1e-98ea-54725dcd3b3e;"Abrazadera inox 1""";32;k37_enero2026;Sanitarios / Griferías;Rebollar;0ce9b426-6c58-4a6b-86e5-fc9440d5ec24;Abrazadera inox 10mm int.;0;k37_enero2026;Mecánica;Rebollar
0.700;revisar;ac5fdea1-9bdd-4b1e-98ea-54725dcd3b3e;"Abrazadera inox 1""";32;k37_enero2026;Sanitarios / Griferías;Rebollar;153b39e4-c586-41ce-a180-7deeec1416d8;"Abrazadera inox 3/4""";44;k37_enero2026;Sanitarios / Griferías;Rebollar
