excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision
278;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Tablón Okume;300;Pies;;;;;Mecanica;Chequear cantidad real en barco 4;STD;
279;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Tambucho de proa - Cuadrado 60x60cm;1;Unidades;;;;;;;STD;
280;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Tanque acumulador presion Flojet-Jabsco;1;Unidades;;;;Flojumar;Electricidad;;STD;
281;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Tanques de agua;2;Unidades;;;;Astillero;;Capacidad total 700 Lts;STD;
282;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Tanques de combustible con visor;2;Unidades;;;;Astillero;;Capacidad total 1800 Lts;STD;
286;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Tapon rosca M de 1/2"" plastico";3;Unidades;;;;Casa Iriarte;Sanitarios;PX TAN 1/2;STD;
287;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"T termofusion 1"" rosca central H 1/2""";16;Unidades;;;;;Sanitarios;TERMOFUSION;STD;
289;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Tender lift OPACMARE 5222/90.04;2;Unidades;;;;;;STD;STD;
290;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Termica malacate 130 AMP;1;Unidades;;;;Flojumar;Electricidad;;STD;
291;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Termotanque CAMCO 76L;1;Unidades;;;;Flojumar;Electricidad;;STD;
293;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Toallero Epuyén 0163/L2 Cromado;2;Unidades;;;;;;Griferia 2 baños;STD;
298;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Toma 1"" plastico";4;Unidades;;;;Casa Iriarte;Sanitarios;"TO1""POL";STD;
299;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Toma tierra Marinco 32A 220V;1;Unidades;;;;Flojumar;Electricidad;Marinco 6351EL;STD;
300;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Tomas cambre de 20 amp;2;Unidades;;;;;Electricidad;;STD;
301;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Traba cadena 10-12mm;1;Unidades;;;;;;Fondeo;STD;
302;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Tubo bowthruster D= 250mm, e= 9 mm, L = 1,50 m;1;Unidades;;;;;Mecanica;;STD;
305;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"TV 24"" Noblex";1;Unidades;;;;;Electricidad;TV Camarote MEDIO;STD;
307;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"TV SAMSUNG 43"" FULL HD T5300";1;Unidades;;;;;Electricidad;TV Camarote POPA;STD;
308;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"TV SAMSUNG 50"" Crystal UHD 4K U8000F";1;Unidades;;;;;Electricidad;https://shop.samsung.com/ar/50--crystal-uhd-4k-u8000f/p?skuId=139438;STD;
310;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Union doble 1"" termofusion";4;Unidades;;;;;Sanitarios;TERMOFUSION;STD;
315;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Union rosca M 1/2"" bronce x caño poliamida 1/4"" con tuerca y virola";1;Unidades;;;;Casa Iriarte;Sanitarios;C 681/4X1/2;STD;
317;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Valvula de un solo sentido para bombas de achique 1 1/2""";2;Unidades;;;;Casa Iriarte;Sanitarios;VALRET1/2 COM;STD;
318;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Valvula de un solo sentido para bombas de achique 1""";4;Unidades;;;;Casa Iriarte;Sanitarios;VALRET 1 COM;STD;
324;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Victron, combinador de baterias cyrix-ct;1;Unidades;;;;Flojumar;Electricidad;Pendiente de compra 01/04;STD;
325;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Visores con bolita para tanques combustible;2;Unidades;;;;;Mecanica;Definir piezas / insumos;STD;
