excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision
70;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Caja paso Roker Pr1010/106;4;Unidades;;;;;Electricidad;300x230x106mm;STD;
71;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Cajas exteriores cambre;3;Unidades;;;;;Electricidad;;STD;
73;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Cañeria termofusion 1""";56;Metros;;;;;Sanitarios;TERMOFUSION;STD;
74;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Canilla de bacha flybridge;1;Unidades;;;;Baron;;Código: C34856;STD;
75;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Canilla de cocina;1;Unidades;;;;MercadoLibre;Sanitarios;https://fvsa.com/productos/0412-96p-augusta-profesional-juego-monocomando-para-mesada-de-cocina/;STD;
78;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Caño D. exterior = 90 mm, e = 4 mm, L = 1100 mm. Inox 316;1;Unidades;;;;;Mecanica;;STD;
79;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Caño inox 316 de 1/2"", L = 1,5 m";1.5;Metros;;;;;Mecanica;TANQUES;STD;
80;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Caño inox 316 de 3/4"", L = 3 m";3;Metros;;;;;Mecanica;TANQUES;STD;
81;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"CAÑO POLIAMIDA REFORZADO DE 1/4""";2;Unidades;;;;Casa Iriarte;Sanitarios;M PA6SP1/4;STD;
82;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Caño schedule 80, 3 1/2"" nominal, L = 285 mm Inox 316";4;Unidades;;;;;Mecanica;;STD;
83;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Cargador inversor Victron Multiplus 12V 3000W;1;Unidades;;;;Flojumar;Electricidad;;STD;
85;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Catalina de fondeo K55;1;Unidades;;;;Maxi Herrero;;;STD;
86;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;CAVA 8 BOTELLAS PHILCO - PHCAV08N2;1;Unidades;;;;;Electricidad;https://www.philco.com.ar/products/cavas/94PHCAV08N2?srsltid=AfmBOoplwU3k_1q1kg7FczB9AeICWNUXnRLehyzwn8GPbZH1MsdEn-hw;STD;
90;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Cerramiento completo (Lona);1;Unidades;;;;;;;STD;
91;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Chapa de inox 316 de 3 x 1,5 m, espesor = 2 mm;1.5;Metros;;;;;Mecanica;TANQUES;STD;
92;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Chapa de proa K55;1;Unidades;;;;Maxi Herrero;;;STD;
93;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Chapas de inox 316 de 2 x 1,25 m, espesor = 2 mm;2;Unidades;;;;;Mecanica;TANQUES;STD;
94;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Chapas de inox 316 de 2 x 1,25 m, espesor = 3 mm;2;Unidades;;;;;Mecanica;TANQUES;STD;
95;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Chapas de inox 316 de 3 x 1,5 m, espesor = 3 mm;5;Unidades;;;;;Mecanica;TANQUES;STD;
96;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Chapas inox 316 de 400 x 400 mm, espesor = 1/4""";2;Unidades;;;;;Mecanica;TANQUES;STD;
98;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Codo 90° HH plastico 1 1/4""";1;Unidades;;;;Casa Iriarte;Sanitarios;;STD;
