excel_row;cantidad;unidad;flag_original;clasificacion;obras_flag;item_original;descripcion_normalizada;observacion;proveedor;sistema_plano;rubro;flag_bool;55_1;55_2;55_3;55_4;notas_sugeridas;dudas;destino_preliminar
22;2;Unidades;STD;STD;;Bacha Piazza A426 Blanco;bacha piazza a426 blanco;;;Sist. Agua;Carpinteria;False;En Chubut;Especificar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=En Chubut; 55-2=Especificar";modelo/definicion pendiente;revisar_no_matriz
31;13;Unidades;STD;STD;;Baterías 12v 180Ah;baterias 12v 180ah;;;Sist. Electrico;;True;Especificar;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | sin rubro;revisar_no_matriz
182;2;Unidades;STD;STD;;Limpia Parabrisas pantograficos;limpia parabrisas pantograficos;;Tableros Costa;Sist. Electrico;;False;En Chubut;Especificar;;;"Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut; 55-2=Especificar";modelo/definicion pendiente | sin rubro;revisar_no_matriz
199;1;Unidades;STD;STD;;Mesa ratona en salon, EL LINK ES UN EJEMPLO;mesa ratona en salon, el link es un ejemplo;;MercadoLibre;Muebles;Carpinteria;False;Especificar;;;;Sistema/Plano: Muebles | Estado por obra: 55-1=Especificar;modelo/definicion pendiente;revisar_no_matriz
215;110;Unidades;STD;STD;;Perfiles de aluminio para tiras led;perfiles de aluminio para tiras led;;MercadoLibre;Sist. Electrico;;False;Especificar;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | sin rubro;revisar_no_matriz
251;2;Unidades;STD;STD;;Resorte a gas para escalera - MODELO A DEFINIR;resorte a gas para escalera - modelo a definir;;;Muebles;Carpinteria;True;Especificar;Especificar;Especificar;Especificar;"Sistema/Plano: Muebles | Estado por obra: 55-1=Especificar; 55-2=Especificar; 55-3=Especificar; 55-4=Especificar";modelo/definicion pendiente;revisar_no_matriz
277;2;Unidades;STD;STD;;Tableros electricos COSTA;tableros electricos costa;;;Sist. Electrico;;False;Especificar;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | sin rubro;revisar_no_matriz
282;2;Unidades;STD;STD;;Tanques de combustible con visor;tanques de combustible con visor;;Astillero;Sist. Combustible;;False;Especificar;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | sin rubro | proveedor astillero=fabricacion interna;revisar_no_matriz
